technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1501,Systemd Service,persistence,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1485.001,Lifecycle-Triggered Deletion,impact,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1053,5,5
T1514,Elevated Execution with Prompt,privilege-escalation,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1123,Audio Capture,collection,,,Linux|Windows|macOS,G0067,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1543,Create or Modify System Process,persistence,privilege-escalation,,Containers|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1026|M1028|M1033|M1040|M1045|M1047|M1054,5,5
T1133,External Remote Services,initial-access,persistence,,Containers|Linux|Windows|macOS,G0004,G0007,G0016,G0026,G0027,G0034,G0035,G0049,G0053,G0065,G0093,G0094,G0096,G0099,G0102,G0114,G0115,G0139,G1003,G1004,G1015,G1016,G1017,G1024,G1040,G1041,G1047,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1030|M1032|M1035|M1042,8,2
T1109,Component Firmware,persistence,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1546.006,LC_LOAD_DYLIB Addition,persistence,privilege-escalation,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1045|M1047,5,5
T1539,Steal Web Session Cookie,credential-access,,,Linux|Office Suite|SaaS|Windows|macOS,G0030,G0034,G0094,G0120,G1014,G1015,G1033,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1021|M1032|M1047|M1051|M1054,5,5
T1053.007,Container Orchestration Job,execution,persistence,privilege-escalation,Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026,5,5
T1568.002,Domain Generation Algorithms,command-and-control,,,ESXi|Linux|Windows|macOS,G0096,G0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1031,5,5
T1036.007,Double File Extension,stealth,,,Windows,G0094,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1028,3,7
T1548.002,Bypass User Account Control,privilege-escalation,,,Windows,G0016,G0027,G0040,G0060,G0067,G0069,G0080,G0082,G0120,G1006,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1047|M1051|M1052,5,5
T1099,Timestomp,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8
T1496.003,SMS Pumping,impact,,,SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013,5,5
T1016.001,Internet Connection Discovery,discovery,,,ESXi|Linux|Windows|macOS,G0010,G0016,G0030,G0047,G0059,G0061,G0125,G1001,G1016,G1017,G1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1548.003,Sudo and Sudo Caching,privilege-escalation,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1026|M1028,5,5
T1685.001,Disable or Modify Windows Event Log,defense-impairment,,,Windows,G0027,G0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1024|M1047,5,5
T1682,Query Public AI Services,reconnaissance,,,PRE,G0094,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,8,2
